qwertyuiop
asdfghjkl
zxcvbnm
qwer wert erty rtyu tyui yuio uiop iop
asdf sdfg dfgh fghj ghjk hjkl jkl kl
zxcv xcvb cvbn vbnm bnm nm m
qqqq wwww eeee rrrr
qqqw wwwe eeer rrrq
qqqe wwwr eeeq rrrw
qqqr wwwq eeew rrre
qqwq wwew eere rrqr
qqeq wwrw eeqe rrwr
qqrq wwqw eewe rrer
qwqq weww eree rqrr
qeqq wrww eqee rwrr
qrqq wqww ewee rerr
qqww wwee eerr rrqq
qqee wwrr eeqq rrww
qqrr wwqq eeww rree
qqwe wwer eerq rrqw
qqwr wweq eerw rrqe
qqew wwre eeqr rrwq
qqer wwrq eeqw rrwe
qqrw wwqe eewr rreq
qqre wwqr eewq rrew
qwqw wewe erer rqrq
qwqe wewr ereq rqrw
qwqr wewq erew rqre
qwwq weew erre rqqr
qwwe weer errq rqqw
qwwr weeq errw rqqe
qwww weee errr rqqq
qweq were erqr rqwq
qwew weqe erwr rqeq
qwee werr erqq rqww
qwer werq erqw rqwe
qwrq weqw erwe rqer
qwrw weqe erwr rqeq
qwre weqr erwq rqew
qwrr weqq erww rqee
qeqw wrwe eqer rwrq
qeqe wrwr eqeq rwrw
qeqr wrwq eqew rwre
qewq wrew eqre rwqr
qeww wree eqrr rwqq
qewe wrer eqrq rwqw
qewr wreq eqrw rwqe
qeeq wrrw eqqe rwwr
qeew wrre eqqr rwwq
qeee wrrr eqqq rwww
qeer wrrq eqqw rwwe
qerq wrqw eqwe rwer
qerw wrqe eqwr rweq
qere wrqr eqwq rwew
qerr wrqq eqww rwee
qrqw wqwe ewer rerq
qrqe wqwr eweq rerw
qrqr wqwq ewew rere
qrwq wqew ewre reqr
qrww wqee ewrr reqq
qrwe wqer ewrq reqw
qrwr wqeq ewrw reqe
qreq wqrw ewqe rewr
qrew wqre ewqr rewq
qree wqrr ewqq reww
qrer wqrq ewqw rewe
qrrq wqqw ewwe reer
qrrw wqqe ewwr reeq
qrre wqqr ewwq reew
qrrr wqqq ewww reee
wwww eeee rrrr tttt
wwwe eeer rrrt tttw
wwwr eeet rrrw ttte
wwwt eeew rrre tttr
wwew eere rrtr ttwt
wwrw eete rrwr ttet
wwtw eewe rrer ttrt
weww eree rtrr twtt
wrww etee rwrr tett
wtww ewee rerr trtt
wwee eerr rrtt ttww
wwrr eett rrww ttee
wwtt eeww rree ttrr
wwer eert rrtw ttwe
wwet eerw rrte ttwr
wwre eetr rrwt ttew
wwrt eetw rrwe tter
wwte eewr rret ttrw
wwtr eewt rrew ttre
wewe erer rtrt twtw
wewr eret rtrw twte
wewt erew rtre twtr
weew erre rttr twwt
weer errt rttw twwe
weet errw rtte twwr
weee errr rttt twww
werw ertr rtwt twew
were erwr rtet twrw
werr ertt rtww twee
wert ertw rtwe twer
wetw erwe rter twrt
wete erwr rtet twrw
wetr erwt rtew twre
wett erww rtee twrr
wrwe eter rwrt tetw
wrwr etet rwrw tete
wrwt etew rwre tetr
wrew etre rwtr tewt
wree etrr rwtt teww
wrer etrt rwtw tewe
wret etrw rwte tewr
wrrw ette rwwr teet
wrre ettr rwwt teew
wrrr ettt rwww teee
wrrt ettw rwwe teer
wrtw etwe rwer tert
wrte etwr rwet terw
wrtr etwt rwew tere
wrtt etww rwee terr
wtwe ewer rert trtw
wtwr ewet rerw trte
wtwt ewew rere trtr
wtew ewre retr trwt
wtee ewrr rett trww
wter ewrt retw trwe
wtet ewrw rete trwr
wtrw ewte rewr tret
wtre ewtr rewt trew
wtrr ewtt reww tree
wtrt ewtw rewe trer
wttw ewwe reer trrt
wtte ewwr reet trrw
wttr ewwt reew trre
wttt ewww reee trrr
eeee rrrr tttt yyyy
eeer rrrt ttty yyye
eeet rrry ttte yyyr
eeey rrre tttr yyyt
eere rrtr ttyt yyey
eete rryr ttet yyry
eeye rrer ttrt yyty
eree rtrr tytt yeyy
etee ryrr tett yryy
eyee rerr trtt ytyy
eerr rrtt ttyy yyee
eett rryy ttee yyrr
eeyy rree ttrr yytt
eert rrty ttye yyer
eery rrte ttyr yyet
eetr rryt ttey yyre
eety rrye tter yyrt
eeyr rret ttry yyte
eeyt rrey ttre yytr
erer rtrt tyty yeye
eret rtry tyte yeyr
erey rtre tytr yeyt
erre rttr tyyt yeey
errt rtty tyye yeer
erry rtte tyyr yeet
errr rttt tyyy yeee
erte rtyt tyey yere
ertr rtet tyry yete
ertt rtyy tyee yerr
erty rtye tyer yert
erye rter tyrt yety
eryr rtet tyry yete
eryt rtey tyre yetr
eryy rtee tyrr yett
eter ryrt tety yrye
etet ryry tete yryr
etey ryre tetr yryt
etre rytr teyt yrey
etrr rytt teyy yree
etrt ryty teye yrer
etry ryte teyr yret
ette ryyr teet yrry
ettr ryyt teey yrre
ettt ryyy teee yrrr
etty ryye teer yrrt
etye ryer tert yrty
etyr ryet tery yrte
etyt ryey tere yrtr
etyy ryee terr yrtt
eyer rert trty ytye
eyet rery trte ytyr
eyey rere trtr ytyt
eyre retr tryt ytey
eyrr rett tryy ytee
eyrt rety trye yter
eyry rete tryr ytet
